h3_index,sst_mean_celsius,sst_std_celsius,sst_quality,latitude,longitude,n_points,date,confidence,anomaly_celsius
8501b50ffffffff,0.02341111,0.001210766,0.4444444444444444,70.104164,50.562508,9,2024-11-17,high,-0.085168675
8501b51bfffffff,0.022124998,0.0,0.0,69.9375,50.64584,1,2024-11-17,low,-0.08645479
8501b52bfffffff,0.015987499,0.0008078912,1.0,70.354164,50.54167,6,2024-11-17,high,-0.092592284
8501b53bfffffff,0.017327271,0.0010315304,0.0,70.297356,50.471596,11,2024-11-17,high,-0.09125251
8501b547fffffff,0.019124998,0.0,0.0,70.020836,51.312508,1,2024-11-17,low,-0.089454785
8501b54ffffffff,0.018062498,0.0010001041,0.5,70.020836,51.54167,4,2024-11-17,medium,-0.09051728
8501b557fffffff,0.022124998,0.0,0.0,69.9375,50.750008,2,2024-11-17,medium,-0.08645479
8501b563fffffff,0.020794999,0.0024399785,2.0,70.20972,51.281948,15,2024-11-17,high,-0.08778478
8501b56bfffffff,0.01851739,0.00058326265,0.17391304347826086,70.19837,51.69113,23,2024-11-17,high,-0.090062395
8501b56ffffffff,0.01955,0.0,1.0,70.3125,51.66667,2,2024-11-17,medium,-0.08902979
8501b573fffffff,0.02271,0.0020688619,0.8,70.104164,50.887505,5,2024-11-17,medium,-0.08586979
8501b577fffffff,0.018962499,1.7677969e-05,1.2,70.29167,50.687508,10,2024-11-17,high,-0.08961728
8501b57bfffffff,0.01945,0.0015137079,0.38095238095238093,70.08433,51.409725,21,2024-11-17,high,-0.08912978
8501b583fffffff,0.02685,0.0007044035,0.0,69.83541,49.35417,20,2024-11-17,high,-0.081729785
8501b587fffffff,0.025832895,0.00029250447,1.0,69.9682,49.224785,19,2024-11-17,high,-0.08274689
8501b58bfffffff,0.027246151,0.0010494692,0.23076923076923078,69.81891,49.766033,26,2024-11-17,high,-0.08133364
8501b58ffffffff,0.026464999,0.00049294945,0.6,69.995834,49.44584,5,2024-11-17,medium,-0.082114786
8501b593fffffff,0.026124999,9.617671e-05,0.0,69.78472,49.18056,6,2024-11-17,high,-0.082454786
8501b597fffffff,0.026174998,0.0,0.0,69.854164,49.10417,1,2024-11-17,low,-0.082404785
